Cu_Content_at%,Temperature_C,Hardness_HV
0,400,197.89836292750422
1,400,208.20783305805418
2,400,218.58730240774702
3,400,228.98086397099507
4,400,239.3308989523831
5,400,249.57884751444928
6,400,259.6660178682765
7,400,269.53441677384063
8,400,279.1275835467541
9,400,288.3914092088395
10,400,297.2749224976292
11,400,305.7310250709857
12,400,313.7171593944518
13,400,321.1958944482176
14,400,328.13541648715295
15,400,334.5099145643804
16,400,340.2998533059275
17,400,345.49212841014787
18,400,350.08010344284736
19,400,354.06352960607455
20,400,367.448353174402
21,400,370.24641812033843
22,400,372.47507400079894
23,400,374.1567013702467
24,400,375.31816875715367
25,400,375.9902365377376
26,400,376.20692382995526
27,400,376.0048547942754
28,400,375.4226004663596
29,400,374.50003147848196
30,400,373.27769578618086
31,400,371.79623385475213
32,400,370.0958417413116
33,400,368.21579020890965
34,400,366.194005516012
35,400,364.06671493115545
36,400,361.86815742668426
37,400,359.6303575062758
38,400,357.3829578155378
39,400,355.1531041648732
40,400,382.9653749417059
41,400,380.84174567538804
42,400,378.8015787974322
43,400,376.8616284484569
44,400,375.0360505367733
45,400,373.33640914446903
46,400,371.7716717739145
47,400,370.3481877755713
48,400,369.0696465184939
49,400,367.93701435859674
50,400,366.94845210936967
51,400,366.09921739450255
52,400,365.3815588228717
53,400,364.78461123263173
54,400,364.2943031666303
55,400,363.89328914180714
56,400,363.5609200553469
57,400,363.2732651502253
58,400,363.00319829359165
59,400,362.72055988975853
60,400,422.39240358018543
61,400,421.98333403952716
62,400,421.45593876116766
63,400,420.77131287371066
64,400,419.889671906743
65,400,418.7710432166292
66,400,417.37602269090024
67,400,415.6665795756628
68,400,413.6068890095695
69,400,411.1641692774152
70,400,408.3094990656303
71,400,405.01858922359156
72,400,401.2724837781698
73,400,397.05816623567597
74,400,392.3690495067005
75,400,387.2053310271414
76,400,381.5741986988096
77,400,375.48987797101313
78,400,368.97351553409413
79,400,362.0529004785282
80,400,354.7620291594432
81,400,347.14052516745016
82,400,339.2329305258904
83,400,331.08788831824285
84,400,322.7572402360094
85,400,264.29506490496175
86,400,255.75668421901173
87,400,247.19766525619787
88,400,238.67284468768435
89,400,230.23540098025
90,400,221.93599723741556
91,400,213.82201435921866
92,400,205.93689048585384
93,400,198.31957860212904
94,400,191.00412990074835
95,400,184.0194062130921
96,400,177.3889206856697
97,400,171.13080205966935
98,400,165.2578745267062
99,400,159.77784228422544
100,400,154.6935656665126
0,410,193.79983845624187
1,410,203.85870487992162
2,410,213.98584223586565
3,410,224.12672386737248
4,410,234.22515359215458
5,410,244.22401742028853
6,410,254.06607266828894
7,410,263.6947579543295
8,410,273.0550066132872
9,410,282.0940456224158
10,410,290.7621622042021
11,410,299.0134208787194
12,410,306.8063148607799
13,410,314.10433730574573
14,410,320.8764599526528
15,410,327.0975091291726
16,410,332.7484317914347
17,410,337.8164471841531
18,410,342.29508272727776
