Cu_Content_at%,Temperature_C,Nanoindentation_Hardness_GPa
0,400,9.089230254400332
1,400,10.257154259013639
2,400,11.474151105346815
3,400,12.725388541287849
4,400,13.99754321433091
5,400,15.279240097954606
6,400,16.561562438927655
7,400,17.838398972316053
8,400,19.10658468143902
9,400,20.365821170699412
10,400,21.618381207398695
11,400,22.868617738282524
12,400,24.122311447658973
13,400,25.385902256834843
14,400,26.665658467345867
15,400,27.966842018014088
16,400,29.292929245341192
17,400,30.64494352935756
18,400,32.02094944262097
19,400,33.41574791101973
20,400,34.82079907279174
21,400,36.22438479829132
22,400,33.41200714800292
23,400,34.76700340933532
24,400,36.071343776646465
25,400,37.306565174415766
26,400,38.45478499703255
27,400,39.49973229863891
28,400,40.427731640433635
29,400,41.22857656943508
30,400,41.89623547959332
31,400,42.429342055016775
32,400,42.831435043148744
33,400,43.11092698231504
34,400,43.280797793752754
35,400,43.35802583332703
36,400,43.36278504654925
37,400,43.317451284917624
38,400,43.24547272579523
39,400,43.17016795248365
40,400,43.113520058366944
41,400,43.095035836153
42,400,43.13073564996822
43,400,43.232332168738495
44,400,40.30664520968339
45,400,40.55528616011065
46,400,40.874629646063774
47,400,41.25607325166599
48,400,41.68656918098871
49,400,42.149395814915806
50,400,42.6251231093217
51,400,43.09271455110352
52,400,43.53070061017101
53,400,43.91835476439144
54,400,44.236803459502205
55,400,44.47000577470609
56,400,44.60554682449401
57,400,44.63520053170323
58,400,44.555231645898765
59,400,44.36642288420937
60,400,44.073829860291006
61,400,43.68628301450014
62,400,47.01567105268628
63,400,46.476053507206025
64,400,45.88266015142217
65,400,45.25084151198576
66,400,44.59503723826739
67,400,43.92782745953794
68,400,43.25912659890757
69,400,42.5955697798859
70,400,41.940129545952225
71,400,41.29198589628102
72,400,40.64665654489777
73,400,39.99637784401984
74,400,39.33071100477256
75,400,38.63733408652765
76,400,37.90296859157757
77,400,37.11438111637815
78,400,36.259395890485386
79,400,35.32785345844343
80,400,34.312454252537144
81,400,33.20943313422412
82,400,32.01902167753308
83,400,27.945668347009484
84,400,26.598001937649027
85,400,25.188539733880102
86,400,23.733157796656354
87,400,22.250355602210373
88,400,20.76036000879416
89,400,19.284123428634842
90,400,17.842277525367088
91,400,16.454106359677887
92,400,15.136601535323958
93,400,13.903656687606112
94,400,12.76545001828832
95,400,11.728052236714436
96,400,10.793284390353325
97,400,9.958837916181768
98,400,9.218664403639515
99,400,8.563679976579177
100,400,7.9835945863956335
0,410,8.922687425927531
1,410,10.064338345852518
2,410,11.25370185739607
3,410,12.476266892419385
4,410,13.718987280712122
5,410,14.970714477675344
6,410,16.22269667990552
7,410,17.468919043926658
8,410,18.70624256692886
9,410,19.934328061227703
10,410,21.15534963944323
11,410,22.373517470225007
12,410,23.5944429773634
13,410,24.824390704949618
14,410,26.06946916944246
15,410,27.33481767306523
16,410,28.62384695642055
17,410,29.93758864440436
18,410,31.274201853614613
19,410,32.628675483148974
20,410,33.992752219104396
21,410,35.35508593699453
22,410,32.52612890215729
23,410,33.84072992956754
24,410,35.10591045841901
25,410,36.3037732500336
26,410,37.41698893584058
27,410,38.42979955749388
28,410,39.328975970725025
29,410,40.10466770273455
30,410,40.75108947996091
31,410,41.26699784956927
32,410,41.65592354602294
33,410,41.926139752730165
34,410,42.090362282000704
35,410,42.16519396026836
36,410,42.17034114972856
37,410,42.1276443898428
38,410,42.0599767286387
39,410,41.99007171305088
40,410,41.939347695276794
41,410,41.92679579253357
42,410,41.967995461119976
43,410,42.07431441112879
44,410,39.170422263127946
45,410,39.42165057518404
46,410,39.742466458925804
47,410,40.12439388714799
48,410,40.55461696537689
49,410,41.016733890811544
50,410,41.49169999125625
51,410,41.958903946860325
52,410,42.39731370747555
53,410,42.78662484990726
54,410,43.108344395898975
55,410,43.34674741187635
56,410,43.489651769733214
57,410,43.52896777039129
58,410,43.46099322596285
59,410,43.286440212684155
60,410,43.01019609065102
61,410,42.64083753593725
62,410,45.96776459162748
63,410,45.449001203979655
64,410,44.87721858701201
65,410,44.26737745175813
66,410,43.633554261091234
67,410,42.98801508472956
68,410,42.340428439866066
69,410,41.69726606315748
70,410,41.061428444433226
71,410,40.432117589771735
72,410,39.80496377243236
73,410,39.17239695827054
74,410,38.52423816262948
75,410,37.84847217135085
76,410,37.132151700240904
77,410,36.36237487954159
78,410,35.5272734368116
79,410,34.61694838548091
80,410,33.624293431110495
81,410,32.545653457529234
82,410,31.38127589035614
83,410,27.351859124054805
84,410,26.033183712848135
85,410,24.65382772790855
86,410,23.229316585233406
87,410,21.777738774674948
88,410,20.318871368719915
89,410,18.87320218859962
90,410,17.460908463663262
91,410,16.100854364086384
92,410,14.809668454175716
93,410,13.600957034017467
94,410,12.484700912557567
95,410,11.46687209010863
96,410,10.549294269242303
97,410,9.729759266099062
98,410,9.002406701837565
99,410,8.358411010642978
100,410,7.787768817200977
0,420,8.759758867311048
1,420,9.875772283226176
2,420,11.038177652006254
3,420,12.232778022144146
4,420,13.446798601368565
5,420,14.669312814822824
6,420,15.891730809115183
7,420,17.10813280941641
8,420,18.315406130777806
9,420,19.513172628985927
10,420,20.70351087264135
11,420,21.890492264774313
12,420,23.07956341607391
13,420,24.276817845624322
14,420,25.488207983732554
15,420,26.718752993717477
16,420,27.971798817200177
17,420,29.248384004906043
18,420,30.546758482938515
19,420,31.862092814102994
20,420,33.186403344422835
21,420,34.50870464699632
22,420,31.664385781860485
23,420,32.939792040055224
24,420,34.16697999469582
25,420,35.32860174478003
26,420,36.40786499415974
27,420,37.38950967496122
28,420,38.26073960855403
29,420,39.01204936835394
30,420,39.63789198986201
31,420,40.13714214373924
32,420,40.513321303902345
33,420,40.77456557294626
34,420,40.93333229848095
35,420,41.005857466992666
36,420,41.01139111202093
37,420,40.97125167275088
38,420,40.90775153533575
39,420,40.84305417881045
40,420,40.79802791863828
41,420,40.79116190496106
42,420,40.83760674069565
43,420,40.94839503015517
44,420,38.066053441613136
45,420,38.319638093452056
46,420,38.641710044107626
47,420,39.02391828802108
48,420,39.453674901389476
49,420,39.91489181320604
50,420,40.388902013223685
51,420,40.85551065194858
52,420,41.29411408160021
53,420,41.68482120877894
54,420,42.00951179794377
55,420,42.25277055917499
56,420,42.40264371534445
57,420,42.451175791174876
58,420,42.394697924223536
59,420,42.23385423689852
60,420,41.973368797655695
61,420,41.621571460881185
62,420,44.94538211142995
63,420,44.44679866053707
64,420,43.89594378211096
65,420,43.30739825495256
66,420,42.694884512015534
67,420,42.07036245292561
68,420,41.443260855803885
69,420,40.81989217262773
70,420,40.20308666978036
71,420,39.59206785864707
72,420,38.982575829292884
73,420,38.36722941350618
74,420,37.73610304265672
75,420,37.077480670924345
76,420,36.37873804573216
77,420,35.62729661240179
78,420,34.81158793133761
79,420,33.921966929468354
80,420,32.951515626748986
81,420,31.896685953323757
82,420,30.757740454505775
83,420,26.771629086607415
84,420,25.481288129087265
85,420,24.131362562441357
86,420,22.737035122542284
87,420,21.31599268835078
88,420,19.88757281075109
89,420,18.47180929298594
90,420,17.088435210444512
91,420,15.755904244702847
92,420,14.490489910670625
93,420,13.305517303488614
94,420,12.210773775324016
95,420,11.212134159374527
96,420,10.31142390899131
97,420,9.506531970140898
98,420,8.79178065716687
99,420,8.158595713738416
100,420,7.597252738974534
0,430,8.600356771714742
1,430,9.691352019320444
2,430,10.827457008442197
3,430,11.994781994382556
4,430,13.18081787944051
5,430,14.374855634693617
6,430,15.568464408650355
7,430,16.75581815503854
8,430,17.933830785175783
9,430,19.102086973958137
10,430,20.262572769547877
11,430,21.41922471758948
12,430,22.577328953905305
13,430,23.742812224329935
14,430,24.921474494436936
15,430,26.11821724556419
16,430,27.336322425636695
17,430,28.576834259790378
18,430,29.83808988300648
19,430,31.115435415860585
20,430,32.401152248903855
21,430,33.68460468187275
22,430,30.826105551134646
23,430,32.06348200662235
24,430,33.25381010566109
25,430,34.38027525593302
26,430,35.42660652908241
27,430,36.378027081118326
28,430,37.22216075262382
29,430,37.949836547274195
30,430,38.55573802619581
31,430,39.03885339609274
32,430,39.4026936814191
33,430,39.65526014228872
34,430,39.808757179351865
35,430,39.8790624195978
36,430,39.884980543155464
37,430,39.84732076635835
38,430,39.787848909561674
39,430,39.728172963199945
40,430,39.68862552307328
41,430,39.68720711384608
42,430,39.73865121019401
43,430,39.853664886112426
44,430,36.992638886768326
45,430,37.24835813435772
46,430,37.57147902077377
47,430,37.953774190039574
48,430,38.38287981666556
49,430,38.84301558910648
50,430,39.31588460236349
51,430,39.78169993398688
52,430,40.220277450914764
53,430,40.612130804548045
54,430,40.939504831866195
55,430,41.187287671574424
56,430,41.343749574160775
57,430,41.40106716375686
58,430,41.3556051389397
59,430,41.207942270625345
60,430,40.96264415903397
61,430,40.62780059430161
62,430,43.94785958596687
63,430,43.468802315757216
64,430,42.938212681259664
65,430,42.3703011617607
66,430,41.77844508532367
67,430,41.17430587160404
68,430,40.56707857038682
69,430,39.96292034650895
70,430,39.36459302491079
71,430,38.77134113028805
72,430,38.17901189218113
73,430,37.580408375381786
74,430,36.965852194593175
75,430,36.32391909890296
76,430,35.64229988601574
77,430,34.90873129972788
78,430,34.11193725739068
79,430,33.24252020692469
80,430,32.293745648473994
81,430,31.262169659549524
82,430,30.14806919648807
83,430,26.20464737586886
84,430,24.942000078927222
85,430,23.62084517701577
86,430,22.256030505785482
87,430,20.864850490520777
88,430,19.46621318576302
89,430,18.079708704338643
90,430,16.724636010631666
91,430,15.419047484402489
92,430,14.178869401202393
93,430,13.017151647350499
94,430,11.943491973959578
95,430,10.963669567202615
96,430,10.079510764592921
97,430,9.28899848712826
98,430,8.586632548750442
99,430,7.9640831866448885
100,430,7.411897478037357
0,440,8.444395613162802
1,440,9.510976215336525
2,440,10.62142162698354
3,440,11.762142554356878
4,440,12.920890029468314
5,440,14.087168232240195
6,440,15.252702415899856
7,440,16.411758935497957
8,440,17.56127855243863
9,440,18.700810478192054
10,440,19.832251179274962
11,440,20.959406150509484
